Search Query,Correlation (Lag 0),Correlation (Lag -1),Correlation (Lag -2),Correlation (Lag -3),Result
робота Київ,0.836,0.826,0.739,0.593,Strong Lead (Lag -1)
звільнення,0.711,0.735,0.747,0.68,Strong Lead (Lag -2)
пошук роботи,0.655,0.706,0.666,0.533,Strong Lead (Lag -1)
вакансії Україна,0.657,0.658,0.628,0.531,Strong Lead (Lag -1)
відкрити бізнес,0.718,0.645,0.568,0.488,Strong Lead (Lag -1)
скорочення штату,0.381,0.532,0.602,0.61,Strong Lead (Lag -3)
допомога по безробіттю,0.282,0.485,0.612,0.641,Strong Lead (Lag -3)
безробіття,0.35,0.432,0.465,0.443,Strong Lead (Lag -2)
криза економічна,0.304,0.383,0.426,0.459,Strong Lead (Lag -3)
еміграція,0.236,0.377,0.495,0.587,Strong Lead (Lag -3)
робота за кордоном,-0.327,-0.321,-0.262,-0.246,Noise
закриття бізнесу,0.145,0.254,0.267,0.256,Noise
мінімальна зарплата,0.325,0.199,0.121,0.098,Noise
курси перекваліфікації,0.242,0.196,0.177,0.156,Noise
працевлаштування,0.163,0.168,0.24,0.292,Noise
біржа праці,-0.087,0.13,0.315,0.423,Strong Lead (Lag -3)
зарплата,-0.145,-0.089,0.038,0.158,Noise
кредити готівкою,-0.065,-0.017,-0.003,-0.037,Noise
без роботи що робити,0.0,0.0,0.0,0.0,Noise
важка ситуація з роботою,0.0,0.0,0.0,0.0,Noise
